course_id,slide_type,button_title,title,ord
CPCS-241,lab,العملي💻,Lab10,10
CPCS-241,lab,العملي💻,Lab13,13
CPCS-223,lecture,نظري📚,Ch01,1
CPCS-223,lecture,نظري📚,Ch02,2
CPCS-223,lecture,نظري📚,Ch03,3
CPCS-223,lecture,نظري📚,Ch04,4
CPCS-223,lecture,نظري📚,Ch05,5
CPCS-223,lecture,نظري📚,Ch06,6
CPCS-223,lecture,نظري📚,Ch07,7
CPCS-223,lecture,نظري📚,Ch08,8
CPCS-223,lecture,نظري📚,Ch09,9
CPCS-223,lecture,نظري📚,Ch10,10
CPCS-223,lecture,نظري📚,Ch11,11
CPCS-301,lecture,نظري📚,Ch00,1
CPCS-301,lecture,نظري📚,Ch01,2
CPCS-301,lecture,نظري📚,Ch03,3
CPCS-301,lecture,نظري📚,Ch05,4
CPCS-301,lecture,نظري📚,Ch06,5
CPCS-214,lecture,نظري📚,Ch01,1
CPCS-214,lecture,نظري📚,Ch02,2
CPCS-214,lecture,نظري📚,Ch03,3
CPCS-214,lecture,نظري📚,Ch04,4
CPCS-214,lecture,نظري📚,Ch05,5
CPCS-214,lecture,نظري📚,Ch06,6
CPCS-214,lecture,نظري📚,Ch07,7
CPCS-214,lecture,نظري📚,Ch08,8
CPCS-214,lecture,نظري📚,Ch09,9
CPCS-214,lecture,نظري📚,Ch10,10
CPCS-214,lecture,نظري📚,Ch11,11
CPCS-214,lecture,نظري📚,Ch12,12
CPCS-214,lecture,نظري📚,Ch13,13
CPCS-214,lecture,نظري📚,Ch14,14
CPCS-214,lecture,نظري📚,Ch15,15
CPCS-214,lecture,نظري📚,Ch16,16
CPCS-214,lecture,نظري📚,Ch17,17
CPCS-214,lecture,نظري📚,Ch18,18
CPCS-214,lecture,نظري📚,Ch19,19
CPCS-214,lecture,نظري📚,Ch20,20
CPCS-214,lecture,نظري📚,Ch21,21
CPCS-214,lecture,نظري📚,Ch22,22
CPCS-214,lecture,نظري📚,Ch23,23
CPCS-214,lecture,نظري📚,Ch24,24
CPCS-214,lecture,نظري📚,Ch25,25
CPCS-214,lecture,نظري📚,Ch26,26
CPCS-214,lecture,نظري📚,Ch27,27
CPCS-214,lecture,نظري📚,Ch28,28
CPCS-214,lecture,نظري📚,Ch29,29
CPCS-214,lecture,نظري📚,Ch30,30
CPCS-214,lecture,نظري📚,Ch31,31
CPCS-214,lecture,نظري📚,Ch32,32
CPCS-214,lecture,نظري📚,Ch33,33
CPCS-214,lecture,نظري📚,Ch34,34
CPCS-214,lecture,نظري📚,Ch35,35
CPCS-214,lecture,نظري📚,Ch36,36
CPCS-214,lecture,نظري📚,Ch37,37
CPCS-214,lecture,نظري📚,Ch38,38
CPCS-214,lecture,نظري📚,Ch39,39
CPCS-214,lecture,نظري📚,Ch40,40
CPCS-214,lecture,نظري📚,Ch41,41
CPCS-214,lecture,نظري📚,Ch42,42
CPCS-214,lecture,نظري📚,Ch43,43
CPCS-214,lecture,نظري📚,Ch44,44
CPCS-214,lecture,نظري📚,Ch45,45
CPCS-214,lab,العملي💻,Lab01,1
CPCS-214,lab,العملي💻,Lab01.5,2
CPCS-214,lab,العملي💻,Lab02,3
CPCS-211,lecture,نظري📚,Ch01,1
CPCS-211,lecture,نظري📚,Ch02,2
CPCS-211,lecture,نظري📚,Ch03,3
CPCS-211,lecture,نظري📚,Ch05-1,4
CPCS-211,lecture,نظري📚,Ch05-2,5
CPCS-212,lecture,نظري📚,W1_to_W4,1
CPCS-212,lecture,نظري📚,W5,2
CPCS-212,lecture,نظري📚,W6,3
CPCS-212,lecture,نظري📚,W7,4
CPCS-212,lecture,نظري📚,W8,5
CPCS-212,lecture,نظري📚,W9,6
CPCS-212,lecture,نظري📚,W10,7
CPCS-212,lecture,نظري📚,W11,8
CPCS-212,lecture,نظري📚,W12,9
CPCS-212,lecture,نظري📚,W13,10
CPCS-212,lecture,نظري📚,W14,11
CPCS-212,lab,العملي💻,L01,1
CPCS-212,lab,العملي💻,L02,2
CPCS-212,lab,العملي💻,L03,3
CPCS-212,lab,العملي💻,L04,4
CPCS-212,lab,العملي💻,L05,5
CPCS-212,lab,العملي💻,L06,6
CPCS-212,lab,العملي💻,L07,7
CPCS-212,lab,العملي💻,L08,8
CPCS-212,lab,العملي💻,L09,9
CPCS-212,lab,العملي💻,L10,10
CPCS-204,lecture,نظري📚,Ch28,28
CPCS-204,lab,العملي💻,Lab01,1
CPIT-220,lecture,نظري📚,Ch01,1
CPIT-220,lecture,نظري📚,Ch02,2
CPIT-220,lecture,نظري📚,Ch03,3
CPIT-220,lecture,نظري📚,Ch04,4
CPIT-220,lecture,نظري📚,Ch05,5
CPIT-220,lecture,نظري📚,Ch06,6
CPIT-220,lecture,نظري📚,Ch07,7
CPIT-220,lecture,نظري📚,Ch08,8
CPIT-220,lecture,نظري📚,Ch09,9
CPIT-220,lecture,نظري📚,Ch11,10
CPIT-220,lecture,نظري📚,Ch12,11
CPIT-220,lecture,نظري📚,Ch13,12
CPIT-220,lecture,نظري📚,Book,13
CPIT-210,lecture,نظري📚,Ch04,1
CPIT-210,lecture,نظري📚,Ch09,2
CPIT-210,lecture,نظري📚,Ch13,3
CPIT-210,lecture,نظري📚,Ch14,4
CPIT-210,lecture,نظري📚,Decoder&Multiplexer,5
CPIT-210,lecture,نظري📚,Flip_Flops,6
CPIT-210,lecture,نظري📚,L4_1_Design_of_Adders,7
CPIT-210,lecture,نظري📚,L4_Chapter 4_LogicCircuits,8
CPIT-210,lecture,نظري📚,logicExpression,9
CPIT-210,lecture,نظري📚,LogicSimplification,10
CPIT-210,lecture,نظري📚,p1ch5SequentialCircuits_Part1,11
CPIT-210,lecture,نظري📚,Matrix_Template24.5,13
CPIT-210,lecture,نظري📚,Book,12
CPIT-240,lecture,نظري📚,Ch01,1
CPIT-240,lecture,نظري📚,Ch02,2
CPIT-240,lecture,نظري📚,Ch03,3
CPIT-240,lecture,نظري📚,Ch04,4
CPIT-240,lecture,نظري📚,Ch05,5
CPIT-240,lecture,نظري📚,Ch08,7
CPIT-240,lecture,نظري📚,Ch10,8
CPIT-240,lecture,نظري📚,Ch14,9
CPIT-240,lecture,نظري📚,Ch16,10
CPIT-260,lecture,نظري📚,Ch01,1
CPIT-260,lecture,نظري📚,Ch03,2
CPIT-260,lecture,نظري📚,Ch05,3
CPIT-260,lecture,نظري📚,Ch06,4
CPIT-260,lecture,نظري📚,Ch08,5
CPIT-260,lecture,نظري📚,Ch09,6
CPIT-260,lecture,نظري📚,Ch09-partB,7
CPIT-260,lecture,نظري📚,Ch10,8
CPIT-260,lecture,نظري📚,MatrixTemplate,9
CPIT-285,lecture,نظري📚,Ch01,1
CPIT-285,lecture,نظري📚,Ch02,2
CPIT-285,lecture,نظري📚,Ch03,3
CPIT-285,lecture,نظري📚,Ch04,4
CPIT-285,lecture,نظري📚,Ch05,5
CPIT-285,lecture,نظري📚,Ch06,6
CPIT-285,lecture,نظري📚,Ch07,7
CPIT-285,lecture,نظري📚,Ch08,8
CPIT-285,lecture,نظري📚,Ch09,9
CPIT-285,lecture,نظري📚,Ch10,10
CPIT-285,lecture,نظري📚,Ch11,11
CPIT-250,lecture,نظري📚,Ch01,1
CPIT-250,lecture,نظري📚,Ch02,2
CPIT-250,lecture,نظري📚,Ch03,3
CPIT-260,lab,العملي💻,Lab01,1
CPIT-260,lab,العملي💻,Lab02,2
CPIT-260,lab,العملي💻,Lab03,3
CPIT-260,lab,العملي💻,Lab04,4
CPIT-260,lab,العملي💻,Lab05,5
CPIT-260,lab,العملي💻,Lab06,6
CPIT-260,lab,العملي💻,Lab07,7
CPIT-260,lab,العملي💻,Lab08,8
CPIT-260,lab,العملي💻,Lab09,9
CPIT-260,lab,العملي💻,Lab10,10
CPIT-260,lab,العملي💻,Lab11,11
CPIT-260,lab,العملي💻,Lab12,12
CPIT-260,lab,العملي💻,Lab13,13
CPIT-260,lab,العملي💻,Lab14,14
CPIT-240,lab,العملي💻,Lab01,1
CPIT-240,lab,العملي💻,Lab02,2
CPIT-240,lab,العملي💻,Lab03,3
CPIT-240,lab,العملي💻,Lab04,4
CPIT-240,lab,العملي💻,Lab05,5
CPIT-240,lab,العملي💻,Lab06,6
CPCS-301,mid_summaries,ملخصات الميد📄,Ch1,1
CPCS-301,mid_summaries,ملخصات الميد📄,Mid,2
CPCS-203,lecture,نظري📚,Ch01,1
CPCS-203,lecture,نظري📚,Ch02-Sorting,2
CPCS-203,lecture,نظري📚,Ch03-IO,3
CPCS-203,lecture,نظري📚,Ch04-Classes,4
CPCS-203,lecture,نظري📚,Ch05-Objects,5
CPCS-203,lecture,نظري📚,Ch06-Inheritance,6
CPCS-203,lecture,نظري📚,Ch07-Polymorphism,7
CPCS-203,lecture,نظري📚,Ch08_Abstract_Classes,8
CPCS-203,lecture,نظري📚,Ch09-Interfaces,9
CPCS-203,lecture,نظري📚,Ch10-Generics,10
CPCS-223,lecture,نظري📚,Ch12,12
CPCS-223,lecture,نظري📚,Ch13,13
CPCS-223,lecture,نظري📚,Ch14,14
CPCS-223,lecture,نظري📚,Ch15,15
CPCS-223,lecture,نظري📚,Ch16,16
CPCS-223,lecture,نظري📚,Ch17,17
CPCS-223,lecture,نظري📚,Ch18,18
CPCS-301,mid_summaries,ملخصات الميد📄,Final,3
CPCS-302,summaries,Summaries,Ch1,1
CPIT-240,lecture,نظري📚,Ch09,11
CPCS-211,lecture,نظري📚,Ch06,7
CPCS-301,lecture,نظري📚,Ch07,6
CPCS-301,lecture,نظري📚,Ch08,7
CPCS-301,lecture,نظري📚,Ch09,8
CPIT-240,lecture,نظري📚,Ch6&7,12
CPCS-223,lecture,نظري📚,Ch06-1,19
CPCS-223,lecture,نظري📚,Ch06-2,20
CPCS-223,lecture,نظري📚,Ch06-3,21
CPCS-223,lecture,نظري📚,Ch06-4,22
CPCS-223,lecture,نظري📚,Ch07-1,23
CPIT-260,lecture,نظري📚,Ch10-1,10
