course_id,exam_type,button_title,title,ord
CPCS-203,mid,الميدات📝,Mid23.5_M_S,4
CPCS-203,mid,الميدات📝,Mid23_F,5
CPCS-203,mid,الميدات📝,Mid24_F_S,6
CPCS-203,mid,الميدات📝,Mid24_F_without,7
CPCS-203,mid,الميدات📝,Mid24_M,8
CPCS-203,mid,الميدات📝,Mid24_M_S,9
CPCS-204,finallab,العملي💻,test,5
CPCS-214,finalexams,النهائي💀,Final21.5,5
CPCS-214,finallab,العملي💻,FL23.5_B,3
CPCS-214,finallab,العملي💻,Mock24,4
CPCS-223,finalexam,النهائي💀,2018,1
CPCS-223,finalexam,النهائي💀,2019,2
CPCS-223,finalexam,النهائي💀,2019#2,3
CPCS-223,finalexam,النهائي💀,2019#3,4
CPCS-223,finalexam,النهائي💀,2020,5
CPCS-223,finalexam,النهائي💀,2021,6
CPCS-223,finalexam,النهائي💀,23,7
CPCS-223,finalexam,النهائي💀,Final23,8
CPCS-223,finalexam,النهائي💀,Sammer20,9
CPCS-301,finalexam,النهائي💀,Final20,1
CPCS-301,finalexam,النهائي💀,Final2022,2
CPCS-301,finalexam,النهائي💀,Final21,3
CPCS-301,finalexam,النهائي💀,Final23F,4
CPCS-301,finalexam,النهائي💀,Online,5
CPCS-302,finalexam,النهائي💀,Final2025,1
CPCS-302,finalexam,النهائي💀,Final2025_S,2
CPCS-302,finalexam,النهائي💀,combinedFinal,3
CPCS-302,mid,الميدات📝,Mid2022_S,1
CPCS-302,mid,الميدات📝,Mid2025,2
CPCS-302,mid,الميدات📝,Mid2025_S,3
CPCS-302,mid,الميدات📝,Mid20_S,4
CPCS-302,mid,الميدات📝,Mid21,5
CPCS-302,mid,الميدات📝,Mid22,6
CPCS-302,mid,الميدات📝,combinedMid,7
STAT-352,finallab,العملي💻,Final24,1
CPIT-240,testbank,بنك الأسئلة📚,Qbank,1
CPCS-204,finallab,العملي💻,FinalLab24-G,6
CPCS-214,finalexams,النهائي💀,Fianl_2013,6
CPCS-214,finalexams,النهائي💀,Final23.5,7
CPCS-214,finalexams,النهائي💀,Final_2012,8
CPCS-214,finalexams,النهائي💀,Final_2020,9
CPCS-214,mid,الميدات📝,Mid-MSQ,2
CPCS-214,mid,الميدات📝,Mid23-Female,3
CPCS-214,mid,الميدات📝,Mid2_2013,4
CPCS-223,mid,الميدات📝,Fall2019_Solution,2
CPCS-223,mid,الميدات📝,Mid2024,3
CPCS-223,mid,الميدات📝,Sample_2026,4
CPCS-223,mid,الميدات📝,Sample_Exam01,5
CPCS-223,mid,الميدات📝,Spring2019_Solution,6
CPCS-223,mid,الميدات📝,Spring2020_Solution,7
CPCS-223,mid,الميدات📝,Spring2025-MakeUp_Solution,8
CPCS-223,mid,الميدات📝,Spring2025_Solution,9
CPCS-223,mid,الميدات📝,Summer2017_Solution,10
CPCS-223,mid,الميدات📝,Summer2018_Solution,11
CPCS-223,mid,الميدات📝,Summer2019_Solution,12
CPCS-301,mid,الميدات📝,Mid21,3
CPCS-301,mid,الميدات📝,Mid21_UNV,4
CPCS-301,mid,الميدات📝,Mid23,5
CPCS-301,mid,الميدات📝,T1_Mid20,6
CPCS-301,mid,الميدات📝,T2_Mid20_Solved,7
CPCS-301,quizzes,كويزات🍪,Quiz1_24,4
CPIT-250,finalexam,النهائي💀,FinalExam22.5,3
CPCS-301,finalexam,النهائي💀,ExamPapersClean,6
CPCS-214,finallab,العملي💻,FL22_F,5
CPCS-214,finallab,العملي💻,FL23_F,6
CPCS-241,final,النهائي💀,Final23,2
CPCS-223,finalexam,النهائي💀,23_Solutions,10
CPIT-250,mid,الميدات📝,Mid21ThirdTerm,7
